area_id,hh_cars,hh_cars
0.0,0.0,5
0.0,1.0,3
0.0,3.0,5
1.0,0.0,92
1.0,1.0,215
1.0,2.0,91
1.0,3.0,32
2.0,0.0,115
2.0,1.0,129
2.0,2.0,135
2.0,3.0,25
2.0,4.0,8
3.0,0.0,110
3.0,1.0,101
3.0,2.0,60
3.0,3.0,13
3.0,4.0,5
4.0,0.0,144
4.0,1.0,183
4.0,2.0,91
4.0,3.0,29
5.0,0.0,291
5.0,1.0,187
5.0,2.0,75
5.0,3.0,17
5.0,4.0,14
6.0,0.0,126
6.0,1.0,112
6.0,2.0,58
6.0,3.0,12
6.0,4.0,9
7.0,0.0,597
7.0,1.0,493
7.0,2.0,263
7.0,3.0,59
7.0,4.0,4
7.0,5.0,10
8.0,0.0,115
8.0,1.0,153
8.0,2.0,103
8.0,3.0,39
9.0,0.0,13
9.0,1.0,16
9.0,2.0,23
10.0,0.0,290
10.0,1.0,439
10.0,2.0,213
10.0,3.0,66
11.0,0.0,31
11.0,1.0,74
11.0,2.0,33
11.0,3.0,8
11.0,4.0,5
12.0,0.0,110
12.0,1.0,244
12.0,2.0,138
12.0,3.0,52
12.0,4.0,10
13.0,0.0,168
13.0,1.0,188
13.0,2.0,57
13.0,3.0,15
14.0,0.0,227
14.0,1.0,160
14.0,2.0,83
14.0,3.0,19
15.0,0.0,282
15.0,1.0,283
15.0,2.0,93
15.0,3.0,27
16.0,0.0,270
16.0,1.0,228
16.0,2.0,94
16.0,3.0,14
16.0,4.0,10
17.0,0.0,383
17.0,1.0,475
17.0,2.0,210
17.0,3.0,65
17.0,4.0,15
18.0,0.0,191
18.0,1.0,187
18.0,2.0,161
18.0,3.0,44
18.0,4.0,5
19.0,0.0,471
19.0,1.0,491
19.0,2.0,217
19.0,3.0,46
19.0,4.0,15
20.0,0.0,197
20.0,1.0,161
20.0,2.0,50
21.0,0.0,151
21.0,1.0,147
21.0,2.0,73
21.0,3.0,31
21.0,4.0,5
22.0,0.0,414
22.0,1.0,241
22.0,2.0,36
22.0,3.0,9
22.0,4.0,10
23.0,0.0,418
23.0,1.0,179
23.0,2.0,50
23.0,3.0,9
24.0,0.0,550
24.0,1.0,457
24.0,2.0,199
24.0,3.0,45
24.0,4.0,5
25.0,0.0,605
25.0,1.0,452
25.0,2.0,157
25.0,3.0,35
25.0,4.0,5
26.0,0.0,482
26.0,1.0,129
26.0,2.0,18
27.0,0.0,412
27.0,1.0,151
27.0,2.0,21
28.0,0.0,380
28.0,1.0,172
28.0,2.0,49
28.0,3.0,5
29.0,0.0,378
29.0,1.0,169
29.0,2.0,44
29.0,3.0,10
30.0,0.0,287
30.0,1.0,464
30.0,2.0,230
30.0,3.0,82
30.0,4.0,14
31.0,0.0,66
31.0,1.0,99
31.0,2.0,55
31.0,3.0,23
31.0,4.0,14
32.0,0.0,480
32.0,1.0,426
32.0,2.0,145
32.0,3.0,38
33.0,0.0,153
33.0,1.0,239
33.0,2.0,157
33.0,3.0,19
33.0,4.0,9
34.0,0.0,5
34.0,1.0,5
35.0,0.0,5
35.0,1.0,18
35.0,2.0,17
36.0,0.0,192
36.0,1.0,195
36.0,2.0,112
36.0,3.0,44
36.0,4.0,5
37.0,0.0,251
37.0,1.0,262
37.0,2.0,72
37.0,3.0,42
38.0,0.0,138
38.0,1.0,94
38.0,2.0,72
38.0,3.0,24
38.0,4.0,5
39.0,0.0,233
39.0,1.0,105
39.0,2.0,49
39.0,3.0,4
40.0,0.0,432
40.0,1.0,173
40.0,2.0,66
40.0,3.0,14
41.0,0.0,247
41.0,1.0,132
41.0,2.0,39
41.0,3.0,27
41.0,4.0,10
42.0,0.0,600
42.0,1.0,297
42.0,2.0,81
42.0,3.0,10
43.0,0.0,706
43.0,1.0,242
43.0,2.0,52
44.0,0.0,489
44.0,1.0,162
44.0,2.0,57
44.0,3.0,10
45.0,0.0,347
45.0,1.0,244
45.0,2.0,73
45.0,3.0,5
45.0,4.0,5
46.0,0.0,574
46.0,1.0,550
46.0,2.0,259
46.0,3.0,27
46.0,4.0,15
47.0,0.0,468
47.0,1.0,479
47.0,2.0,244
47.0,3.0,97
47.0,4.0,39
48.0,0.0,24
48.0,1.0,52
48.0,2.0,19
48.0,3.0,12
